102,29422
126,25781
153,21632
160,19838
200,16416
253,11967
302,8831
338,6187
400,3336
444,2601
482,2421
483,2378
492,2496
1009,214
1010,123
1527,140
1529,91
2019,144
2028,232
2452,102
